elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high	event_max	event_oom	event_oom_kill	swap_event_max	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
0.0	117085605888	1450582016	2306048	16384	0	36315136	36315136	88046829568	83751862272	83715547136	11935744	21692416	9961472	24576	0	0	4294967296	0	0	0	0	0	0.0	0	0	0	-1	0	0
1.0	116970790912	1732173824	2613248	0	0	540712960	540712960	88046829568	83751862272	83211149312	229400576	302170112	200548352	24576	0	0	4294967296	0	0	0	0	0	0.0	0	0	0	-1	0	0
2.0	117291757568	1857245184	3301376	0	3309568	794918912	795041792	88046829568	83751862272	82956943360	358780928	415850496	248762368	69632	0	0	4294967296	0	0	0	0	0	0.0	0	0	0	-1	0	0
3.0	118126309376	1897623552	4698112	0	3309568	937848832	937971712	88046829568	83751862272	82814013440	446894080	458493952	253849600	1372160	0	0	4294967296	0	0	0	0	0	0.0	0	0	0	-1	0	0
4.1	118089687040	1942753280	6512640	0	3309568	1049882624	1049882624	88046829568	83751862272	82701979648	458555392	513093632	255082496	1609728	0	0	4294967296	0	0	0	0	0	0.0	1	0	0	-1	0	0
5.1	118034776064	2014257152	7090176	0	3309568	1211535360	1211535360	88046829568	83751862272	82540326912	531881984	586133504	283230208	1970176	0	0	4294967296	0	0	0	0	0	0.0	1	0	0	-1	0	0
6.1	117709262848	2059014144	11481088	0	3309568	1554698240	1554698240	88046829568	83751862272	82197164032	834437120	619548672	303923200	6180864	0	0	4294967296	0	0	0	0	0	0.0	1	0	0	-1	0	0
7.1	117533982720	2059218944	11538432	0	3309568	1725820928	1725874176	88046829568	83751862272	82026041344	1005281280	619548672	304881664	6180864	0	0	4294967296	0	0	0	0	0	0.0	2	0	0	-1	0	0
8.1	117458501632	2060206080	11583488	0	3309568	1810386944	1810386944	88046829568	83751862272	81941475328	1088094208	620609536	305868800	6193152	0	0	4294967296	0	0	0	0	0	0.0	2	0	0	-1	0	0
9.1	117416284160	2074902528	13717504	0	3309568	1870434304	1870442496	88046829568	83751862272	81881427968	1128071168	635723776	310910976	8323072	0	0	4294967296	0	0	0	0	0	0.0	2	0	0	-1	0	0
10.1	117889777664	2263764992	14241792	0	3309568	1521717248	2048557056	88046829568	83751862272	82230145024	597733376	825180160	302002176	9240576	0	0	4294967296	0	0	0	0	0	0.0	2	0	0	-1	0	0
11.2	117517762560	2277109760	16334848	0	3309568	1967046656	2048557056	88046829568	83751862272	81784815616	1024925696	838385664	314294272	10915840	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
12.2	117357342720	2277089280	16478208	0	3309568	2149842944	2149842944	88046829568	83751862272	81602019328	1207271424	838414336	315379712	10919936	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
13.2	117265506304	2277298176	16486400	0	3309568	2235961344	2235961344	88046829568	83751862272	81515900928	1207271424	838414336	315379712	10919936	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
14.2	117125955584	2292813824	18227200	0	3309568	2312253440	2312261632	88046829568	83751862272	81439608832	1356271616	846802944	323518464	12656640	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
15.2	117003280384	2525093888	19501056	0	3309568	2672254976	2672353280	88046829568	83751862272	81079607296	1470324736	1081372672	445341696	13934592	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
16.2	115669733376	3789197312	19804160	0	3309568	5305212928	5305475072	88046829568	83751862272	78446649344	2822189056	2350137344	1700651008	14188544	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
17.2	110461964288	8903155712	20197376	0	3309568	12718534656	12718796800	88046829568	83751862272	71033327616	5100060672	7460327424	6812127232	14192640	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
18.3	101391523840	17940385792	20197376	0	3309568	21794222080	21794484224	88046829568	83751862272	61957640192	5100060672	16497627136	15849426944	14192640	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
19.3	92302761984	26997825536	20209664	0	3309568	30889345024	30889607168	88046829568	83751862272	52862517248	5100060672	25554710528	24906506240	14204928	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
20.3	83201916928	36071538688	20213760	0	3309568	40002035712	40002297856	88046829568	83751862272	43749826560	5100060672	34628894720	33980694528	14204928	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
21.3	78395707392	40450232320	20267008	0	3309568	44396879872	44396879872	88046829568	83751862272	39354982400	5100060672	39006294016	38358093824	14204928	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
22.3	75246886912	40455991296	20291584	0	3309568	47534043136	47534043136	88046829568	83751862272	36217819136	8225923072	39012048896	38362406912	14221312	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	-1	0	0
23.3	78995447808	40533966848	20389888	0	3309568	42977333248	48185647104	88046829568	83751862272	40774529024	3598479360	39090724864	34874417152	14266368	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	2	1	0
24.4	75819794432	44022665216	20393984	0	3309568	49901867008	49901867008	88046829568	83751862272	33849995264	7021047808	42578432000	38362488832	14266368	0	0	4294967296	0	0	0	0	0	0.0	3	0	0	2	1	0
25.4	75351531520	45834694656	540491776	8388608	3309568	51763548160	51763548160	88046829568	83751862272	31988314112	7021047808	44390506496	38362488832	534360064	8388608	0	4294967296	0	0	0	0	0	0.0	3	0	0	2	1	0
26.4	78379032576	42040037376	20516864	0	3309568	45901762560	51763548160	88046829568	83751862272	37850099712	5010186240	40599408640	36381007872	14315520	0	0	4294967296	0	0	0	0	0	0.0	4	0	0	2	2	0
27.4	75764297728	44053225472	20361216	0	3309568	50687668224	51763548160	88046829568	83751862272	33064194048	7774269440	42608754688	38392463360	14221312	0	0	4294967296	0	0	0	0	0	0.0	4	0	0	2	2	0
28.4	79956611072	40818544640	20471808	0	3309568	43254779904	51794395136	88046829568	83751862272	40497082368	3599233024	39370719232	38428704768	14278656	0	0	4294967296	0	0	0	0	0	0.0	4	0	0	2	3	0
29.4	77035573248	43567468544	20480000	0	3309568	48956518400	51794395136	88046829568	83751862272	34795343872	6528430080	42126548992	37877768192	14278656	0	0	4294967296	0	0	0	0	0	0.0	4	0	0	2	3	0
30.4	76074532864	45311987712	1268420608	0	3309568	51227271168	51794395136	88046829568	83751862272	32524591104	7021801472	43867389952	38371098624	1262084096	0	0	4294967296	0	0	0	0	0	0.0	5	0	0	2	3	0
31.5	79457857536	41159184384	13344768	0	3309568	44127584256	51802677248	88046829568	83751862272	39624278016	4129808384	39712358400	35499913216	12144640	0	0	4294967296	0	0	0	0	0	0.0	5	0	0	2	4	0
32.5	76565270528	44053655552	14970880	0	3309568	49926619136	51802677248	88046829568	83751862272	33825243136	7021801472	42603606016	38391803904	12144640	0	0	4294967296	0	0	0	0	0	0.0	5	0	0	2	4	0
33.5	79412604928	44057849856	15040512	0	3309568	46506299392	51802677248	88046829568	83751862272	37245562880	3599233024	42607804416	38395932672	12201984	0	0	4294967296	0	0	0	0	0	0.0	5	0	0	2	5	0
34.5	77769478144	42857783296	15052800	0	3309568	47524327424	51802677248	88046829568	83751862272	36227534848	5818814464	41409216512	37167673344	12201984	0	0	4294967296	0	0	0	0	0	0.0	5	0	0	2	5	0
35.5	76087570432	44061966336	16072704	0	3309568	50368913408	51802677248	88046829568	83751862272	33382948864	7453995008	42611646464	38370615296	12201984	0	0	4294967296	0	0	0	0	0	0.0	5	0	0	2	5	0
36.5	79415365632	40849063936	10280960	0	3309568	43496828928	51802677248	88046829568	83751862272	40255033344	3809714176	39402717184	35179761664	7249920	0	0	4294967296	0	0	0	0	0	0.0	5	0	0	2	6	0
37.5	76302512128	44062728192	10235904	0	3309568	49936257024	51802677248	88046829568	83751862272	33815605248	7021809664	42611511296	38391803904	7249920	0	0	4294967296	0	0	0	0	0	0.0	5	0	0	2	6	0
38.6	74998013952	44610326528	11100160	0	3309568	50526068736	51802677248	88046829568	83751862272	33225793536	7021809664	43154817024	38391803904	7286784	0	0	4294967296	0	0	0	0	0	0.0	6	0	0	2	6	0
39.6	77236326400	42541797376	11112448	0	3309568	46893277184	51802677248	88046829568	83751862272	36858585088	5502775296	41094975488	36851613696	7286784	0	0	4294967296	0	0	0	0	0	0.0	6	0	0	2	7	0
