elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high_delta	event_max_delta	event_oom_delta	event_oom_kill_delta	swap_event_max_delta	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
0.0	118397390848	563482624	3190784	0	0	23961600	24223744	107374182400	103079215104	107350220800	7917568	13549568	5619712	8192	0	0	0	0	0	0	0	0	0.54	0	0	0	2	43	0
1.0	117926977536	1353629696	3653632	0	0	549392384	549392384	107374182400	103079215104	106824790016	234795008	304627712	200728576	8192	0	0	0	0	0	0	0	0	0.44	0	0	0	2	43	0
2.0	117597454336	1616166912	4456448	0	0	801034240	801042432	107374182400	103079215104	106573148160	362037248	417058816	248782848	53248	0	0	0	0	0	0	0	0	0.44	0	0	0	2	43	0
3.0	117473005568	1714683904	6737920	0	0	934932480	935059456	107374182400	103079215104	106439249920	446742528	457793536	253952000	1597440	0	0	0	0	0	0	0	0	0.36	0	0	0	2	43	0
4.1	117319901184	1749766144	6881280	0	0	1041285120	1041285120	107374182400	103079215104	106332897280	458108928	505905152	255168512	1597440	0	0	0	0	0	0	0	0	0.36	0	0	0	2	43	0
5.1	116816187392	1828638720	7282688	0	0	1211604992	1211871232	107374182400	103079215104	106162577408	531808256	585850880	283238400	1957888	0	0	0	0	0	0	0	0	0.29	0	0	0	2	43	0
6.1	115947737088	1869303808	11665408	0	0	1520861184	1520861184	107374182400	103079215104	105853321216	800190464	620187648	304193536	5910528	0	0	0	0	0	0	0	0	0.29	0	0	0	2	43	0
7.1	115727941632	1944739840	11669504	0	0	1707851776	1707855872	107374182400	103079215104	105666330624	986824704	620187648	305143808	5910528	0	0	0	0	0	0	0	0	0.24	0	0	0	2	43	0
8.1	115710132224	1948045312	11669504	0	0	1768222720	1768222720	107374182400	103079215104	105605959680	1045995520	620187648	305958912	5910528	0	0	0	0	0	0	0	0	0.24	0	0	0	2	43	0
9.1	115724996608	1963143168	13910016	0	0	1870073856	1870397440	107374182400	103079215104	105504108544	1128431616	636502016	311029760	8052736	0	0	0	0	0	0	0	0	0.19	0	0	0	2	43	0
10.2	116800208896	2122969088	13971456	0	0	2018578432	2018590720	107374182400	103079215104	105355603968	1119002624	796012544	397414400	8052736	0	0	0	0	0	0	0	0	0.19	0	0	0	2	43	0
11.2	117113360384	2165555200	17879040	0	0	1707204608	2045825024	107374182400	103079215104	105666977792	769855488	838475776	304963584	11796480	0	0	0	0	0	0	0	0	0.16	0	0	0	2	43	0
12.2	116867780608	2166120448	17887232	0	0	2111320064	2111320064	107374182400	103079215104	105262862336	1168556032	838987776	315285504	11800576	0	0	0	0	0	0	0	0	0.16	0	0	0	2	43	0
13.2	116866400256	2179563520	17924096	0	0	2202939392	2202939392	107374182400	103079215104	105171243008	1258278912	839258112	316633088	11804672	0	0	0	0	0	0	0	0	0.13	0	0	0	2	43	0
14.2	116850286592	2183008256	19230720	0	0	2308886528	2308911104	107374182400	103079215104	105065295872	1359388672	842805248	319520768	12783616	0	0	0	0	0	0	0	0	0.13	0	0	0	2	43	0
15.2	116682989568	2366763008	20340736	0	0	2584514560	2584514560	107374182400	103079215104	104789667840	1438748672	1028677632	429568000	13893632	0	0	0	0	0	0	0	0	0.1	0	0	0	2	43	0
16.2	116441042944	2451116032	20426752	0	0	2952884224	2956066816	107374182400	103079215104	104421298176	1715949568	1113575424	466493440	14094336	0	0	0	0	0	0	0	0	0.1	0	0	0	2	43	0
17.2	115011117056	4208332800	20815872	0	0	6336376832	6336376832	107374182400	103079215104	101037805568	3329961984	2873348096	2224398336	14336000	0	0	0	0	0	0	0	0	0.08	0	0	0	2	43	0
18.3	109336764416	5991366656	20836352	0	0	13719232512	13719232512	107374182400	103079215104	93654949888	8913756160	4653318144	4002549760	14352384	0	0	0	0	0	0	0	0	0.08	0	0	0	2	43	0
19.3	108237103104	8621199360	2648600576	0	0	16142331904	16142331904	107374182400	103079215104	91231850496	8634175488	7283150848	4002553856	2644193280	0	0	0	0	0	0	0	0	0.07	0	0	0	2	43	0
20.3	108245139456	9413922816	1159622656	1075838976	0	16954351616	16954454016	107374182400	103079215104	90419830784	8634175488	8075874304	4002553856	1153118208	1075838976	0	0	0	0	0	0	0	0.07	0	0	0	2	43	0
21.3	106278252544	5991366656	20869120	0	0	15308840960	16954454016	107374182400	103079215104	92065341440	10499907584	4653338624	4002553856	14364672	0	0	0	0	0	0	0	0	0.05	0	0	0	2	1	0
22.3	106502279168	7803318272	220098560	538968064	0	17115705344	17115705344	107374182400	103079215104	90258477056	10446143488	6465282048	4002553856	213594112	538968064	0	0	0	0	0	0	0	0.05	0	0	0	2	1	0
23.3	108440928256	8316358656	20885504	0	0	16346181632	17115705344	107374182400	103079215104	91028000768	9210392576	6981046272	2763821056	14364672	0	0	0	0	0	0	0	0	0.04	0	0	0	2	1	0
24.4	105323708416	9557725184	21168128	0	0	20904058880	20904321024	107374182400	103079215104	86470123520	12518113280	8219561984	4002631680	14364672	0	0	0	0	0	0	0	0	0.04	0	0	0	2	1	0
25.4	106472497152	12980277248	1349591040	566231040	0	22346424320	22346731520	107374182400	103079215104	85027758080	10449260544	11642114048	4002631680	1343741952	559939584	0	0	0	0	0	0	0	0.03	0	0	0	2	1	0
26.4	105994678272	11369672704	686891008	538968064	0	20692144128	22346731520	107374182400	103079215104	86682038272	10449260544	10031509504	4002631680	681041920	538968064	0	0	0	0	0	0	0	0.03	0	0	0	2	2	0
